graph,vertices / edges,degrees,vconn / econn,girth,spectral gap,expansion,tau3 vertices / edges,tau3 min / avg / max degree,tau4 comp,min UECBOs
:EkHGb_QK~,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1,32 / 80,5 - 5 - 5,1,120
:EkIGr_PG~,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.83296,1,32 / 80,5 - 5 - 5,1,120
:Ekg?rcQG~,6 / 10,"5,4,4,3,2,2",1 / 2,3,1.23462,0.666667,32 / 80,5 - 5 - 5,1,120
:EkgCr_QG~,6 / 10,"5,4,4,3,2,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EkgGr_PG~,6 / 10,"5,4,4,3,2,2",1 / 2,3,2.2055,1,32 / 80,5 - 5 - 5,1,120
:Eg?ibMPLN,6 / 10,"4,4,4,4,2,2",1 / 2,3,1.70928,1,32 / 80,5 - 5 - 5,1,120
:Eg@ibM@LN,6 / 10,"4,4,4,4,2,2",2 / 2,3,2.65647,1.33333,32 / 80,5 - 5 - 5,1,120
ERlw,6 / 10,"4,4,4,4,2,2",2 / 2,3,2.56155,1.33333,48 / 144,6 - 6 - 6,3,160
:EgGcaMQK~,6 / 10,"4,4,4,4,2,2",2 / 2,4,2,1.33333,32 / 80,5 - 5 - 5,1,120
:EgGgbMPG~,6 / 10,"4,4,4,4,2,2",1 / 2,4,1.73205,1,32 / 80,5 - 5 - 5,1,120
:EgH_aMQK~,6 / 10,"4,4,4,4,2,2",2 / 2,3,1.31784,0.666667,32 / 80,5 - 5 - 5,1,120
:EgHcaMAK~,6 / 10,"4,4,4,4,2,2",2 / 2,3,1.31784,1.33333,32 / 80,5 - 5 - 5,1,120
:EgHgbM@G~,6 / 10,"4,4,4,4,2,2",2 / 2,3,1.81361,1.33333,32 / 80,5 - 5 - 5,1,120
:EgI_aMPK~,6 / 10,"4,4,4,4,2,2",1 / 2,3,1.44469,0.666667,32 / 80,5 - 5 - 5,1,120
:EgIcaM@K~,6 / 10,"4,4,4,4,2,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EgI_bMPG~,6 / 10,"4,4,4,4,2,2",1 / 2,3,1.93898,1,32 / 80,5 - 5 - 5,1,120
:EgIcbM@G~,6 / 10,"4,4,4,4,2,2",2 / 2,3,2.44098,1.33333,32 / 80,5 - 5 - 5,1,120
:Ek?gbMPGn,6 / 10,"4,4,4,4,2,2",1 / 2,0,0.554958,0.666667,32 / 80,5 - 5 - 5,1,120
:Ek@gbM@Gn,6 / 10,"4,4,4,4,2,2",2 / 2,4,1.61852,1.33333,32 / 80,5 - 5 - 5,1,120
:EaKCRgbLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EaKCbcbLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.3541,1.33333,32 / 80,5 - 5 - 5,1,120
:EaKCrcaLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.79749,1.33333,32 / 80,5 - 5 - 5,1,120
:EaHEaksR,6 / 10,"4,4,4,3,3,2",2 / 2,6,1,1,32 / 80,5 - 5 - 5,1,120
:EaHEbgsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.79129,1,32 / 80,5 - 5 - 5,1,120
:EaHIQksR,6 / 10,"4,4,4,3,3,2",2 / 2,4,2,1.33333,32 / 80,5 - 5 - 5,1,120
:EaHIRgsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.36901,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWeaKsR,6 / 10,"6,3,3,3,3,2",2 / 2,4,1.61852,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWiQKsR,6 / 10,"6,3,3,3,3,2",2 / 2,3,1.7975,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWmQGsR,6 / 10,"6,3,3,3,3,2",2 / 2,3,1.81361,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWciKsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.79129,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWghKsR,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.41421,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWcyGsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWgxGsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.36901,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWkxGcR,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EaX_iKsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EaXggKsR,6 / 10,"5,4,3,3,3,2",2 / 2,4,1.61852,1.33333,32 / 80,5 - 5 - 5,1,120
:EaXgwGsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.39019,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYeAKsR,6 / 10,"6,3,3,3,3,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYi@KsR,6 / 10,"6,3,3,3,3,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYm@GsR,6 / 10,"6,3,3,3,3,2",2 / 2,3,2.22274,1.33333,32 / 80,5 - 5 - 5,1,120
:EaY_YKsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.31784,1,32 / 80,5 - 5 - 5,1,120
:EaY_hKsR,6 / 10,"5,4,3,3,3,2",2 / 2,4,2,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYcgKsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.0308,1.33333,32 / 80,5 - 5 - 5,1,120
:EaY_xGsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.36901,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYcwGsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.39019,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYgwCsR,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.931,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYkwCcR,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.7975,1.33333,32 / 80,5 - 5 - 5,1,120
:Ea[?RgbLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:Ea[?bcbLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.44098,1.33333,32 / 80,5 - 5 - 5,1,120
:Ea[Cb_bLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.44098,1.33333,32 / 80,5 - 5 - 5,1,120
:Ea[Gb_RLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.81361,1.33333,32 / 80,5 - 5 - 5,1,120
:Ea[?rcaLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.81361,1,32 / 80,5 - 5 - 5,1,120
:Ea[Cr_aLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,1.94324,1.33333,32 / 80,5 - 5 - 5,1,120
:Ea[Gr_QLN,6 / 10,"5,4,3,3,3,2",2 / 2,3,2.22274,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWEaksR,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.29972,1,32 / 80,5 - 5 - 5,1,120
:EaWEbgsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,1.931,1,32 / 80,5 - 5 - 5,1,120
:EaWIQksR,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EaWIbcsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.39019,1.33333,32 / 80,5 - 5 - 5,1,120
:EaXIBgsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.36901,1.33333,32 / 80,5 - 5 - 5,1,120
:EaYIBcsR,6 / 10,"4,4,4,3,3,2",2 / 2,3,2.03079,1.33333,32 / 80,5 - 5 - 5,1,120
:EaqIHCbPN,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.23913,1,32 / 80,5 - 5 - 5,1,120
:EaqIWCbPN,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.78814,1,32 / 80,5 - 5 - 5,1,120
:EaqIgCRPN,6 / 10,"6,3,3,3,3,2",1 / 2,3,1.23913,1,32 / 80,5 - 5 - 5,1,120
:EaqI@cbPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.33529,1,32 / 80,5 - 5 - 5,1,120
:EaqIP_bPN,6 / 10,"5,4,3,3,3,2",1 / 2,3,1.23913,1,32 / 80,5 - 5 - 5,1,120
