ID	Staat	Bundesland	Regierungsbezirk	Landkreis	Verwaltungszusammenschluss	Ort	Ortsteil	Gemeindeteil	Ort2	Längengrad	Breitengrad	Autokennzeichen
18107	DE	NI	-	Landkreis Wolfenbüttel	Samtgemeinde Oderwald	Heiningen	-	-	-	10.5667	52.0667	WF
18108	DE	SH	-	Landkreis Rendsburg-Eckernförde	Amt Hohenwestedt-Land	Heinkenborstel	-	-	-	9.75	54.1333	RD
18109	DE	ST	-	Ohrekreis	Verwaltungsgemeinschaft Elbe-Heide	Heinrichsberg	-	-	-	11.7333	52.2667	OK
18110	DE	BB	-	Landkreis Ostprignitz-Ruppin	-	Rheinsberg	Heinrichsdorf	-	-	12.95	53.05	OPR
18111	DE	MV	-	Landkreis Uecker-Randow	Amt Ferdinandshof	Heinrichsruh	-	-	-	13.9167	53.65	UER
18112	DE	BY	Unterfranken	Landkreis Aschaffenburg	Verwaltungsgemeinschaft Heigenbrücken	Heinrichsthal	-	-	-	9.35	50.0667	AB
18113	DE	MV	-	Landkreis Uecker-Randow	Amt Ferdinandshof	Heinrichswalde	-	-	-	13.7667	53.6167	UER
18114	DE	NW	Köln	Landkreis Heinsberg	-	Heinsberg	-	-	-	6.08333	51.0667	HS
18115	DE	SN	Chemnitz	Vogtlandkreis	Verwaltungsgemeinschaft Reichenbach	Heinsdorfergrund	-	-	-	12.3722	50.6222	V
18116	DE	NI	-	Landkreis Holzminden	Samtgemeinde Polle	Heinsen	-	-	-	9.43333	51.8833	HOL
18117	DE	RP	-	Rhein-Hunsrück-Kreis	Verbandsgemeinde Kirchberg (Hunsrück)	Heinzenbach	-	-	-	7.41667	49.9667	SIM
18118	DE	RP	-	Landkreis Bad Kreuznach	Verbandsgemeinde Kirn-Land	Heinzenberg	-	-	-	7.48333	49.8167	KH
18119	DE	RP	-	Landkreis Kusel	Verbandsgemeinde Lauterecken	Heinzenhausen	-	-	-	7.6	49.6333	KUS
18120	DE	RP	-	Landkreis Bitburg-Prüm	Verbandsgemeinde Prüm	Heisdorf	-	-	-	6.43333	50.1333	BIT
18121	DE	SH	-	Landkreis Pinneberg	Amt Moorrege	Heist	-	-	-	9.65	53.65	PI
18122	DE	RP	-	Rhein-Lahn-Kreis	Verbandsgemeinde Diez	Heistenbach	-	-	-	8	50.3667	EMS
18123	DE	BW	Freiburg	Landkreis Breisgau-Hochschwarzwald	Verwaltungsgemeinschaft Heitersheim	Heitersheim	-	-	-	7.66667	47.8833	FR
18124	DE	TH	-	Kyffhäuserkreis	-	Helbedündorf	-	-	-	10.6167	51.35	KYF
18125	DE	ST	-	Landkreis Mansfelder Land	Verwaltungsgemeinschaft Mansfelder Grund-Helbra	Helbra	-	-	-	11.5	51.55	ML
18126	DE	BY	Oberbayern	Landkreis Mühldorf am Inn	Verwaltungsgemeinschaft Heldenstein	Heldenstein	-	-	-	12.3667	48.25	MÜ
18127	DE	TH	-	Kyffhäuserkreis	Verwaltungsgemeinschaft An der Schmücke	Heldrungen	-	-	-	11.2167	51.3	KYF
18128	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Wirges	Helferskirchen	-	-	-	7.81667	50.5167	WW
18129	DE	SH	-	Landkreis Pinneberg	-	Helgoland	-	-	-	7.88333	54.1667	PI
18130	DE	BB	-	Landkreis Prignitz	Amt Groß Pankow/Prignitz	Helle	-	-	-	12.0333	53.1667	PR
18131	DE	RP	-	Westerwaldkreis	Verbandsgemeinde Rennerod	Hellenhahn-Schellenberg	-	-	-	8.01667	50.6	WW
18132	DE	NW	Köln	Landkreis Euskirchen	-	Hellenthal	-	-	-	6.43333	50.4833	EU
18133	DE	RP	-	Landkreis Birkenfeld	Verbandsgemeinde Rhaunen	Hellertshausen	-	-	-	7.28333	49.8167	BIR
18134	DE	TH	-	Landkreis Hildburghausen	-	Hellingen	-	-	-	10.6833	50.25	HBN
18135	DE	SH	-	Landkreis Dithmarschen	Amt Wesselburen-Land	Hellschen-Heringsand-Unterschaar	-	-	-	8.85	54.2	HEI
18136	DE	NI	-	Landkreis Rotenburg (Wümme)	Samtgemeinde Sottrum	Hellwege	-	-	-	9.23333	53.0667	ROW
18137	DE	BY	Oberfranken	Landkreis Hof	-	Helmbrechts	-	-	-	11.7	50.2333	HO
18138	DE	RP	-	Landkreis Altenkirchen/Westerwald	Verbandsgemeinde Altenkirchen	Helmenzen	-	-	-	7.61667	50.7	AK
18139	DE	RP	-	Landkreis Altenkirchen/Westerwald	Verbandsgemeinde Altenkirchen	Helmeroth	-	-	-	7.73333	50.7333	AK
